state,loss,confidence upper,confidence lower,beekeepers,beek exclusive,colonies,colonies exclusive,bexcl
Nebraska,10.2,28.8,6.5,10,,35123,0.3,80.0
Idaho,16.5,35.4,6.7,29,,45356,0.3,79.3
Louisiana,17.3,39.1,7.6,12,,283,96.4,91.7
Arkansas,18.3,31.1,13.8,29,,2256,14.7,93.1
Montana,18.8,37.1,13.9,20,,10048,1.0,90.0
New Jersey,20.0,34.4,10.2,56,,661,96.7,94.6
Kansas,20.1,26.4,14.6,24,,297,97.2,95.8
California,20.7,28.0,14.7,115,,237328,20.6,60.9
Texas,20.7,33.4,11.0,96,,94306,0.8,84.4
Missouri,20.7,25.7,16.1,90,,789,94.9,96.7
South Dakota,21.6,36.1,9.2,15,,80291,0.2,53.3
Wyoming,23.4,40.3,7.9,12,,2644,66.6,75.0
Oregon,23.5,36.8,9.0,83,,17088,6.5,95.2
MultiStateOperation,24.1,31.3,17.1,86,,198696,0.0,0.0
North Carolina,24.4,30.7,19.1,129,,1380,96.1,99.2
New York,24.5,42.6,14.6,101,,7399,13.3,94.1
Indiana,24.9,27.6,19.4,70,,6569,15.6,95.7
Alabama,27.6,35.6,17.6,68,,1296,97.8,98.5
Maryland,27.8,34.8,23.6,162,,3341,33.2,95.1
Tennessee,28.4,39.9,15.2,44,,446,92.2,97.7
Georgia,29.1,61.5,13.3,82,,9829,8.5,92.7
Rhode Island,29.1,59.6,9.0,12,,75,93.3,91.7
Florida,29.2,46.7,18.7,26,,364,48.2,92.3
South Carolina,29.3,37.2,15.0,43,,1121,30.1,97.7
Virginia,29.4,33.7,25.4,269,,2785,90.9,97.0
Michigan,29.8,53.3,15.9,203,,14752,10.8,95.6
North Dakota,30.1,40.4,21.1,14,,77179,0.0,7.1
Kentucky,30.3,37.4,23.8,81,,825,100.0,100.0
Washington,31.3,44.5,23.8,73,,48655,1.6,94.5
Oklahoma,31.3,41.8,8.8,32,,4778,7.5,93.8
Ohio,31.6,43.0,26.1,140,,3807,33.4,98.6
Nevada,32.4,58.0,10.0,12,,104,89.4,91.7
Pennsylvania,36.3,42.6,30.3,556,,6430,85.2,98.4
Connecticut,36.7,59.4,18.8,37,,359,100.0,100.0
Colorado,37.6,46.4,29.0,78,,556,94.3,97.4
Illinois,37.7,54.1,20.8,55,,599,97.5,94.5
Vermont,38.2,67.9,17.8,35,,1864,62.4,94.3
Wisconsin,39.9,70.0,8.5,88,,6366,19.8,89.8
Maine,40.9,62.5,16.8,65,,1537,48.7,96.9
Delaware,41.2,64.8,17.1,14,,79,100.0,100.0
Minnesota,41.4,54.2,37.5,63,,10115,5.2,93.7
West Virginia,42.2,52.0,31.9,20,,303,90.3,90.0
Iowa,44.5,58.5,26.7,40,,497,100.0,100.0
Massachusetts,47.0,66.9,23.3,70,,1360,35.4,95.7
New Mexico,47.0,69.1,27.5,17,,94,100.0,100.0
New Hampshire,47.7,70.0,21.1,43,,1136,22.7,95.3
Utah,49.1,80.4,13.2,70,,1691,28.8,95.7
